Name;CreationDate
Course;16/06/2020 00:36:14;
Internet;16/06/2020 00:36:14;
Salaire;01/01/0001 00:00:00;
Cadeau;01/01/0001 00:00:00;
Mal bouffe;01/01/0001 00:00:00;
repas boulot;01/01/0001 00:00:00;
Gaz / Electricité;01/01/0001 00:00:00;
Assurance chaudiere;01/01/0001 00:00:00;
Sorti amoureux;01/01/0001 00:00:00;
Restaurant;01/01/0001 00:00:00;
Mutuelle;01/01/0001 00:00:00;
Loyer;01/01/0001 00:00:00;
Bouffe boulot;01/01/0001 00:00:00;
Gadget;01/01/0001 00:00:00;
Netflix;01/01/0001 00:00:00;
Remboursement;01/01/0001 00:00:00;
Budget depenses communes;01/01/0001 00:00:00;
Cotisation banque;01/01/0001 00:00:00;
Epargnes;01/01/0001 00:00:00;
Assurance voiture;01/01/0001 00:00:00;
Essence;01/01/0001 00:00:00;
Covoiturage;01/01/0001 00:00:00;
Soirée;01/01/0001 00:00:00;
Vetements;01/01/0001 00:00:00;
Casino;01/01/0001 00:00:00;
Téléphone;01/01/0001 00:00:00;
Sport;01/01/0001 00:00:00;
Depense voyage;01/01/0001 00:00:00;
Yonne;01/01/0001 00:00:00;
Apport maison;01/01/0001 00:00:00;
Mariage;01/01/0001 00:00:00;
Controle Technique;01/01/0001 00:00:00;
Entretien voiture;01/01/0001 00:00:00;
Hopital;01/01/0001 00:00:00;
Plex;01/01/0001 00:00:00;
